Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Please select the most relevant choice.,Please select the option that best applies to you.,What musical instrument(s) do you play?,How long have you been playing?,HowLongPlayingFormatted,How many hours per day do you currently play your instrument(s)?,HoursPerDayFormatted,How many hours per day or per week do you currently play your instrument(s)? (Please specify per day,What are your major musical genres? - Selected Choice,What are your major musical genres? - Other - Text,When did you initiate your career in conducting and how?,Please state your music experience in the levels of music training given below. - High school - Music experience,Please state your music experience in the levels of music training given below. - Some college - Music experience,Please state your music experience in the levels of music training given below. - Associate’s degree - Music experience,Please state your music experience in the levels of music training given below. - Bachelor’s degree - Music experience,Please state your music experience in the levels of music training given below. - Master's degree - Music experience,Please state your music experience in the levels of music training given below. - PhD or professional degree - Music experience,"If applicable, what other types of musical training did you receive?","Have you completed any music examinations, juries, or received awards?","When, where, and which ones? (Referring to music examinations, juries, awards)",What are the most enjoyable aspects of your musical life?,What are some of your most vivid music-related memories?,"Do you have memories that also include specific musical moments (performing, listening, etc.)?",Can a piece of music take you to a different place and time?,Please share some examples of music making taking you to a different place and time.,With whom do you play music?,Are there any musicians in your family or amongst your friends?,How has your family's/friend's musicianship impacted you?,How has COVID-19 affected your ability to be a musician?,Which of the following performance and rehearsal options are currently available to you?,PRIVLESSONSPre,PRIVLESSONSDuring,COURSEWORKPre,COURSEWORKDuring,WARMUPPre,WARMUPDuring,FORMALTRAININGPre,FORMALTRAININGDuring,PERFORMANCEPre,PERFORMANCEDuring,REHEARSALPre,REHEARSALDuring,In what way has COVID-19 affected your income from music?,In what way has COVID-19 affected available rehearsal/practice space for you?,In what way has COVID-19 affected your motivation to play?,Please share any additional information on how COVID-19 has affected your ability to be a musician?,"Please list all of the countries where you have lived and the length of time, including your birthplace.",Please list the first language(s) of your parent(s)/guardian(s).,Where did your parent(s)/guardian(s) grow up?,What languages(s) does your family use with you (distinguish context if different for each language)?,"What exposure have you had to your first language, second language, ... n-th language in your family?","What exposure have you had to your first language, second language, ... n-th language in your community?","What exposure have you had to your first language, second language, ... n-th language in your study/living abroad?",In which countries do you have relatives and friends whom you visit frequently?,How has COVID-19 affected your ability to interact as a bi/multilingual and use languages?,In what way has COVID-19 affected your accessibility to persons in your bi- and multilingual communities?,In what way has COVID-19 affected travel for you?,In what ways has COVID-19 impacted your interactions with others in general?,In what ways has COVID-19 impacted your income?,In what ways has COVID-19 impacted your course delivery of language courses?,Please share any comments about language learning and/or teaching during COVID-19 if you are a student or teacher.,HIGHSCHOOLLANGSTUDIED,HIGHSCHOOLSEMESTERS,HIGHSCHOOLINSTRUCTION,SOMECOLLEGELANGSTUDIED,SOMECOLLEGESEMESTERS,SOMECOLLEGEINSTRUCTION,ASSOCIATESLANGSTUDIED,ASSOCIATESSEMESTERS,ASSOCIATESINSTRUCTION,BACHELORSLANGSTUDIED,BACHELORSSEMESTERS,BACHELORSINSTRUCTION,MASTERSLANGSTUDIED,MASTERSSEMESTERS,MASTERSINSTRUCTION,PHDLANGSTUDIED,PHDSEMESTERS,PHDINSTRUCTION,"Have you taken the SAT-II, IB, AP, Oral Proficiency, TOEFL, or other standardized tests of a language? If so, please list the test and your scores.",Why did you decide to learn your second language?,"Do you have ADHD /ADD or any other learning disorders or cognitive impairment? If yes, please explain.","Do you have any history of hearing or visual problems?  If yes, please explain.",FIRSTPROFICIENCY,FIRSTAGE,FIRSTOFTENREAD,FIRSTOFTENWRITE,FIRSTOFTENSPEAK,FIRSTOFTENLISTEN,SECONDPROFICIENCY,SECONDAGE,SECONDOFTENREAD,SECONDOFTENWRITE,SECONDOFTENSPEAK,SECONDOFTENLISTEN,THIRDPROFIENCY,THIRDAGE,THIRDOFTENREAD,THIRDOFTENWRITE,THIRDOFTENSPEAK,THIRDOFTENLISTEN,FOURTHPROFICIENCY,FOURTHAGE,FOURTHOFTENREAD,FOURTHOFTENWRITE,FOURTHOFTENSPEAK,FOURTHOFTENLISTEN,Age,Gender
9/18/20 20:09,9/18/20 20:13,IP Address,152.3.43.43,94,276,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"China (3 years), United States (16years)",Mandarin chinese,China,"Mandarin Chinese, english",Speaking and listening at home,Minimal,Chinese learning/studying classes,China,X,Negative,Negative,Negative,Neutral,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 20:55,9/18/20 20:55,IP Address,152.3.43.43,56,16,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 21:46,9/18/20 21:52,IP Address,152.3.43.46,56,385,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 23:47,9/19/20 0:03,IP Address,49.36.129.182,94,929,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"India (18 years, birthplace), US (currently residing and has been 1 year)",English and Hindi,India,Hindi and English,We use both languages on a daily basis and more often we speak somewhat of a mixture of these two languages,On a daily basis,Mostly English and a little bit of hindi with my friends from India,I don’t have relatives outside India,It hasn’t had any effect,Neutral,Negative,Neutral,Neutral,,I am not learning any other languages as of now,"Hindi, English","4,8","Hindi, English",,,,,,,,,,,,,,,,Toefl- 116,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 0:04,9/19/20 0:25,IP Address,122.176.186.70,85,1279,False,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,Keyboard,3 years,3,,0.14,One hour per week,Other,,,Beginner,,,,,,,No,,Love to listen ,Learning along with kids in the same class,No,,,Alone,Yes,Somewhat ,Neutral,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,Neutral,Positive,None,India,Hindi,India,English,Speaking,Speaking and writing ,Speaking ,Not frequently visited,None,Negative,Negative,Negative,Negative,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 12:09,9/19/20 12:10,IP Address,70.79.139.188,56,19,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 21:40,9/19/20 12:12,IP Address,152.3.43.40,56,52305,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 21:31,9/19/20 12:12,Spam,152.3.43.40,56,52891,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 11:57,9/19/20 12:13,IP Address,198.86.29.22,56,987,False,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,"Flute, piano",9 years,9,,,3 days/week,"Classical,Orchestral,Popular",,,"School band and orchestra, private lesson","School orchestra, private lesson",,,,,,Yes,"In high school Korean International Music Educator Association Solo Platinum ranking and Ensemble Platinum ranking, Outstanding Musicianship Award from my high school orchestra, Director’s Choice award from my high school band",Making music with people,Playing music for disabled orphans and connecting with them,"Listening to Beethoven Leonore overture number 3 and Tchaikovsky Violin concerto numbest 2 and being really emotionally enlightened, starting to practice my first concerto ",,,Orchestra or band,Yes,More exposed to non-pop music since young age,Neutral,"Virtual (live),Virtual (pre-recorded)",,,,,,,,,2,0,,,,Negative,Neutral,Cannot practice in practice rooms as a woodwind player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 15:09,9/19/20 15:11,IP Address,152.3.43.56,56,124,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 15:35,9/19/20 15:37,IP Address,107.15.33.206,56,157,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 15:51,9/19/20 15:52,IP Address,198.86.29.22,56,93,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 17:20,9/19/20 17:21,IP Address,152.3.43.43,56,46,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/20 12:07,9/19/20 20:08,IP Address,110.225.73.228,85,28868,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India 36 yrs,Hindi,India,Hindi,"Hindi,major exposure","Hindi,major exposure","Hindi,major exposure",India,No,Neutral,Negative,Negative,Neutral,,I think languages can be taught virtually so its alright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/20 21:03,9/26/20 21:08,IP Address,172.126.17.83,100,270,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,Percussion,9 Years,9,1,1,,"Classical,Orchestral",,,I was a classically trained percussionist. I participated in Dallas Youth Irchestras and All State orchestras,,,,,,,Yes,I attended the BUTI tanglewood institute as well as the Juilliard Seminar for Percussion in 2017. ,Performing for large audiencesp,Playing with the Dallas Symphony on my graduation day,Yes,Yes,When I listen to pieces I remember when I performed them,The Duke Wind Symphony,Yes,My friends have encouraged me to continue playing in college.,Negative,,1,0,3,0,2,0,0,0,3,0,3,0,,,Negative,I have little accès to instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Male
9/26/20 22:16,9/26/20 22:21,IP Address,174.109.79.234,100,283,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,Violin,16 y,16,0,0,,"Classical,Orchestral",,,!,,,,,,Classical ,Yes,100% in New York State. All state orch,In college finding ways to relate it to other passions of mine,My two hour long recital at the end of my senior year of high school,Yes,Yes,When I hear a piece I can envision myself playing it at the time of my life that I played it so I can hear myself even as a young child,Myself or groups,Yes,My family is incredibly musical and therefore I am as well,Negative,N/A,0,0,0,0,0,0,0,0,0,0,0,0,,,,N/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,F
9/19/20 23:07,9/19/20 23:13,IP Address,115.66.102.58,85,315,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore 21 years,English,Singapore,English and Chinese are both spoken at home,"English - Everything
","Chinese - Talking to parents sometimes, casual interaction, Language classes, books, television shows, songs",NIL,none,No,Neutral,Negative,Negative,Neutral,,no longer formally learning or teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/20 5:33,9/20/20 5:34,IP Address,60.243.5.103,56,48,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/20 9:47,9/27/20 10:03,IP Address,174.109.82.198,100,985,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States - 20 years,"English, Russian","United States, Russia","English, Russian","My mother and I subconsciously switch back and forth between speaking English (my first language) and Russian (my second language) with each other. But we speak English with the rest of our nuclear family. I also speak Russian with my extended family members, who live in Russia. ","My neighbors, classmates, and friends all speak English with me. The only exception is within my Russian language classes, where I speak in Russian with my classmates and professors.","I study abroad in Russia about every other summer, entirely immersing myself in my second language. Abroad, I speak in Russian with my family and my community of classmates, workmates, and neighbors.",Russia and France,"COVID-19 has limited by ability to study and use my second language in an immersive, abroad setting. However, with more time spent at home, I was able to speak in Russian with my relatives more than I did in the United States pre-COVID-19. With more free time, I have read more books in Russian for leisure.",Negative,Negative,Neutral,Positive,Negative,No amount of language learning in the United States can yield results equivalent in progress to language learning abroad.,"Spanish, Russian",8,"Spanish, Russian",Russian,5,Russian,,,,,,,,,,,,,"Oral Proficiency: Intermediate High (Russian)
SAT-II: 730/800 (Spanish)","I decided to learn my second language, Russian, because of a love for the country, the literature, the food, the culture, and my relatives. It is also a language that critical for national security.",,I wear glasses.,Native,0,7,7,7,7,Advanced,0,3,3,5,3,Intermediate,8,1,1,1,2,,,,,,,20,Female
9/27/20 12:01,9/27/20 12:11,IP Address,152.3.43.57,100,624,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greensboro, North Carolina. 19 years.",English,North Carolina and Alabama,English at all times.,"I learned English at home, but my parents sent all the kids in my family to a Spanish Immersion school. Most Spanish speaking around the house is when listening to music or telling the other kids things we don’t want our parents to know. ","The majority of my friends are English speakers, but I use Spanish in volunteer positions, jobs, and when I can use it to help people in random situations.","I have been able to travel to Peru, Costa Rica, the Dominican Republic, and Spain where I have used my Spanish to get through customs, and get to know everyone we are with. I have also used Spanish traveling elsewhere in Europe when it is the only common language iban interaction.",United States,"My ability to use and speak Spanish has decreased dramatically because classes in Spanish are not all in person, I cannot go to work to use my Spanish, and I have no opportunities when simply put and around town.",Negative,Negative,Negative,Negative,Negative,It is hard to practice conversational Spanish over zoom because it is much more awkward no matter the language you are using so small talk and participation decrease.,Spanish,8,Spanish,Spanish,2 of 3,Spanish,,,,,,,,,,,,,"SAT -II : 750
IB : 7
AP : 5",Because in kindergarten my teacher only spoke Spanish to me and I had to pick it up.,,No.,English,1,Very Often,Very often for all styles ,Almost Always,Almost always,Spanish,5,Occasionally,Frequently formal writing,Frequently,Sometimes listening to music or watching movies,,,,,,,,,,,,,19,Female
9/27/20 11:57,9/27/20 12:22,IP Address,152.3.43.49,100,1477,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,"Piano (primary), learning guitar",13 years of piano,13,1.5,1.5,,"Classical,Popular,Other",Improvisation,,"Worship Music, some jazz exposure",,,,,,Six years of classical training before high school,No,,"The freedom to play whatever I want, whenever I want, with no pressure.","When I first discovered I could connect what I learned from classical lessons and chord progressions I learned in middle school band, I began to improvise for the first time (though my band instructor scolded me for ""noodling around""). I still vividly remember that feeling of being able to freely come up with whatever I wanted to play.","In second grade, I had a kick-butt performance of Solfeggietto that I was super proud of. I've also had moments performing during church worship services that have had meaningful religious impacts on me.",,,"Mostly by myself, sometimes with Christian worship bands.",No,,Negative,Virtual (live),0,0,0,0,10,8,0,0,1,1,0,0,,Negative,Neutral,"It's so much harder to find pianos around campus now. I'm still playing a lot in the practice rooms, but it's much harder to find the time.",United States (whole life),English,United States,English,native speaker of English,"took Spanish Immersion classes in elementary school and gained elementary fluency in the language. In high school, continued practicing in Spanish.",n/a (never studied abroad,n/a,I don't have as much practice as usual (no classes or abroad opportunities to keep up my fluency),,Negative,Negative,,,"It was super helpful to me to learn another language young, because now it's very easy to pick back up.",Spanish,4,Spanish,,,,,,,,,,,,,,,,SAT-II Spanish: 770,I didn't! My parents put me in the Spanish Immersion program.,,No,Native,0-5,Every day,Every day,Every day,Every day,Beginner/Intermediate,5-10,Most days,Rarely,Sometimes,Most days,,,,,,,,,,,,,19,Male
9/27/20 17:35,9/27/20 17:50,IP Address,173.95.50.147,100,910,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birthplace = United Kingdom, Windsor; Lived in UK (1year), US (23 years); Spain (&gt;1 year)",French for both mother and father,Switzerland for both mother and father,French for all family. One uncle is American so I speak English with him,I grew up speaking French with my extended family and close family (parents and brother). in middle school i started speaking english with my immediate family more - but french remained our primary language at home,"in my community, I spoke English starting from a very young age. I also (in highschool and beyond) began using Spanish to connect to the Hispanic parts of my community","I have worked abroad in both professional English, Spanish, and French capacities. I started learning Spanish in school (7th grade) and completed my last academic course the summer of my sophomore year when I studied abroad in Spain for 2 months.","Swtizerland, Spain, UK","I have been much more isolated from my community and my international friends/family. I currently mainly speak with my immediate family (french to parents, and english with my brother and his fiancee). I speak English at work and with friends in Durham. COVID shut down much of my extracurricualrs so i havent been able to volunteer with my hispanic community recently (so have not spoken spanish in about 7 months). I did however use the extra time of working from home to start to learn Korean - using online courses and Duolingo (and have progressed to an intermediate level).",Negative,Negative,Negative,Neutral,,I had to adapt to learning fully using online resources (and not in person courses or professor driven courses) - meaning I'm using online self-teaching materials.,2,"8, 2","Spanish, French",,,,,,,1,5,Spanish,,,,,,,"AP French - 5, AP Spanish - 5","Necessity (my family moved to the US when I was small and we needed to speak English to communicate with those around us). I chose to learn my 3rd (Spanish) and 4th (Korean) out of curiosity for the culture, love of the music associated with those cultures, and a desire to better understand people in my community who come from backgrounds different from my own.",,N/A,Native,birth (0),3,"7 (texting, letters)",7,"7 (music everyday, TV, news programs, social media of friends)",Native,2,7,"7 (everyday, work, letters, texting)",7,7,Native-Like,12,2,"2 (texts, social media)",2,"5 (music, television, sports, youtube)",Intermediate,22,2,1,2,"5 (shows, music, Youtube, social media)",23,Female
9/28/20 22:29,9/28/20 22:38,IP Address,108.93.228.177,100,573,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birthplace: United States, 5 years and then 11 years
South Korea, 6 years",Korean,South Korea,"English, Korean",Korean and English were used often,"In the United States, definitely more English exposure but still a decent amount of Korean with family and through media consumption.  Definitely way more Korean when living in South Korea.",I spent a lot more time using Korean in South Korea but I spoke English at my international school and at home.,South Korea,No,Neutral,Negative,Negative,Neutral,,No thoughts,0,8,English,1,6,English,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,I had to learn out of necessity when I moved to South Korea.  I had grown up listening to Korean however.,,Yes; just bad eye sight and needed glasses,Native,0,7,7,7,7,Advanced,4,3,3,6,6,Beginner,16,3,1,1,3,,,,,,,21,Female
9/22/20 12:08,9/22/20 12:14,IP Address,98.26.53.161,85,330,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Italy 30 years, Switzerland 3 years, US 5 years",Spanish,Argentina,Spanish,Second language (Spanish) in family,First language (Italian) in the community,I learned German in Switzerland and English in the US,France Spain Italy US Switzerland ,No significant impact,,Negative,,,,Not a significant difference from the past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/20 22:04,9/22/20 22:06,IP Address,24.152.143.176,56,126,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 18:00,9/30/20 14:32,IP Address,24.27.125.72,100,505914,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,Guitar,About 5 Years,5,About 30 mins a day as I am usually too busy with class; but up to two hours a day during vacation time,0.5,,"Classical,Folk,Jazz,Popular",,,2 or 3 Courses in HS,One Course in College,0,0,0,0,Independent study since around freshman year of high school,No,,"I greatly enjoy playing my guitar in my free time to express myself and relax. Furthermore, I love listening to music at nearly every hour my day. I use it as both background music as well as the center of my attention when I want feel powerfully about something.","I remember listening to music on a small, red mp3 player on the school bus trip back home from my elementary school. I remember tearing up while listening to my favorite songs and musical pieces since then. And I also have fond memories of playing music with my very bad high school band.","As previously mentioned, I remember multiple specific moments where I've teared up while listening to music. A few examples include the chorus of Like A Rolling Stone by Bob Dylan, the string section of Gershwin's Rhapsody in Blue, the chorus of Fernando Fernandez's El Plebeyo, the chorus of Andrea Motis's cover of Saudades da Guanabara, the violin solo from Ibrahim Ferrer's Bruca Manigua, and the lyrics to Father John Misty's Pure Comedy. But I also have very fond memories of performing as well, such as playing a song by the Artic Monkeys in my high school's talent show and playing with and for a group of family friends where I got to improvise in public for the first time.",,,"I usually play alone now a-days, but I used to play with an amateur high school band. ",Yes,"I took a lot of inspiration and motivation from my friends. They challenged me to not only become a better guitarist, but also to be more creative and committed to music.",Positive,"In-person and live,Virtual (live)",0,0,0,4,2,5,0,0,1,0,0,0,,Positive,Positive,"It has mostly just given me more free time to practice since I am stuck at home. I wasn't making any money from doing it before hand, so that hasn't been something I've had to suffer. I mostly do it on my own, in my free time, and casually. So, there were no performances or rehearsals that I've lost out on.",USA since my birth,Spanish,"Reynosa, Tamaulipas, Mexico",Spanish at all times,"My family only speaks Spanish, so all of my practice in Spanish comes from them today--though in the past I've taken a couple Spanish courses here and there, they have always been my main source of exposure to Spanish. Meanwhile, I speak English with essentially everyone outside of my family.","My community is heavily Mexican-American (around 93%, I believe) so I occasionally speak Spanish outside of the house, at the a store, and so forth. But, English is usually the language I can rely on the most when it comes to speaking with strangers so I've also gotten exposure to English from my community. ","When I moved to Durham for Duke, I lost out on a lot of exposure to Spanish and pretty much only spoke it on calls with family members. ","I have relatives in Mexico. I rarely visit them, but my dad who lives across the border in Reynosa regularly visits me.","I've been going out a lot less which has limited my use of English mostly to just using it when I am online in a Zoom room or speaking with others through there. But since COVID started, Spanish has definitely been the language I speak the most on a day-to-day basis simply by virtue of being home and always speaking to my mom and other family members. ",Negative,Negative,Negative,Negative,,"My last Spanish course was essentially cut short as I was forced to return home from Duke. Once I got home and the semester got back on track, the class was much less extensive out of an effort to compensate for differences in home situations. So, I had a lot less time with the professor and got less practice as there weren't as many assignments that I had to do.",1,8,Spanish,1,1,Spanish,-,-,-,-,-,-,-,-,-,-,-,-,"AP Test in Spanish - 5
IB Test in Spanish - Uncertain as I no longer recall my score and don't have a means of checking it ","Spanish was my first language, but as I was young and living in America where I received my public education, English was taught to me early on in Elementary school.",,Nope.,Native,1,3,1,7,5,Advanced,Around 6,7,7,5,7,,,,,,,,,,,,,20,Male
9/24/20 14:17,9/24/20 14:18,IP Address,50.52.186.164,56,30,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 14:17,9/24/20 14:18,IP Address,68.32.76.114,56,44,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 14:18,9/24/20 14:18,IP Address,71.88.4.37,56,20,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 14:31,9/24/20 14:31,IP Address,152.3.43.46,56,15,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 16:07,9/24/20 14:34,IP Address,152.3.43.43,85,512832,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States (16 years)
China (3 years)",Mandarin Chinese,X,X,X,X,X,X,X,Negative,Negative,Negative,Negative,Negative,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 14:37,9/24/20 14:38,IP Address,152.3.43.56,56,28,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 14:52,9/24/20 14:53,IP Address,201.95.86.68,56,55,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/20 16:48,9/24/20 16:49,IP Address,174.247.3.115,56,28,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
